"dgp","idx_d","d","truth_seed","row","col","A_base"
"dgp1",3,15,20270003,5,5,0.309776343995853
"dgp1",3,15,20270003,6,5,0
"dgp1",3,15,20270003,7,5,0
"dgp1",3,15,20270003,8,5,0
"dgp1",3,15,20270003,9,5,0
"dgp1",3,15,20270003,10,5,0
"dgp1",3,15,20270003,11,5,0
"dgp1",3,15,20270003,12,5,0
"dgp1",3,15,20270003,13,5,0
"dgp1",3,15,20270003,14,5,0.309776343995853
"dgp1",3,15,20270003,15,5,0
"dgp1",3,15,20270003,1,6,0
"dgp1",3,15,20270003,2,6,0
"dgp1",3,15,20270003,3,6,0
"dgp1",3,15,20270003,4,6,0.309776343995853
"dgp1",3,15,20270003,5,6,0.309776343995853
"dgp1",3,15,20270003,6,6,0.309776343995853
"dgp1",3,15,20270003,7,6,0
"dgp1",3,15,20270003,8,6,0
"dgp1",3,15,20270003,9,6,0
"dgp1",3,15,20270003,10,6,0
"dgp1",3,15,20270003,11,6,0
"dgp1",3,15,20270003,12,6,0
"dgp1",3,15,20270003,13,6,0
"dgp1",3,15,20270003,14,6,0
"dgp1",3,15,20270003,15,6,0
"dgp1",3,15,20270003,1,7,0
"dgp1",3,15,20270003,2,7,0
"dgp1",3,15,20270003,3,7,0
"dgp1",3,15,20270003,4,7,0
"dgp1",3,15,20270003,5,7,0
"dgp1",3,15,20270003,6,7,0
"dgp1",3,15,20270003,7,7,0.309776343995853
"dgp1",3,15,20270003,8,7,0.309776343995853
"dgp1",3,15,20270003,9,7,0
"dgp1",3,15,20270003,10,7,0
"dgp1",3,15,20270003,11,7,0
"dgp1",3,15,20270003,12,7,0
"dgp1",3,15,20270003,13,7,0
"dgp1",3,15,20270003,14,7,0
"dgp1",3,15,20270003,15,7,0
"dgp1",3,15,20270003,1,8,0
"dgp1",3,15,20270003,2,8,0
"dgp1",3,15,20270003,3,8,0
"dgp1",3,15,20270003,4,8,0.309776343995853
"dgp1",3,15,20270003,5,8,0
"dgp1",3,15,20270003,6,8,0
"dgp1",3,15,20270003,7,8,0
"dgp1",3,15,20270003,8,8,0.309776343995853
"dgp1",3,15,20270003,9,8,0
"dgp1",3,15,20270003,10,8,0
"dgp1",3,15,20270003,11,8,0
"dgp1",3,15,20270003,12,8,0.309776343995853
"dgp1",3,15,20270003,13,8,0
"dgp1",3,15,20270003,14,8,0
"dgp1",3,15,20270003,15,8,0
"dgp1",3,15,20270003,1,9,0
"dgp1",3,15,20270003,2,9,0
"dgp1",3,15,20270003,3,9,0
"dgp1",3,15,20270003,4,9,0
"dgp1",3,15,20270003,5,9,0
"dgp1",3,15,20270003,6,9,0
"dgp1",3,15,20270003,7,9,0
"dgp1",3,15,20270003,8,9,0
"dgp1",3,15,20270003,9,9,0.309776343995853
"dgp1",3,15,20270003,10,9,0.309776343995853
"dgp1",3,15,20270003,11,9,0
"dgp1",3,15,20270003,12,9,0
"dgp1",3,15,20270003,13,9,0
"dgp1",3,15,20270003,14,9,0
"dgp1",3,15,20270003,15,9,0
"dgp1",3,15,20270003,1,10,0
"dgp1",3,15,20270003,2,10,0.309776343995853
"dgp1",3,15,20270003,3,10,0
"dgp1",3,15,20270003,4,10,0
"dgp1",3,15,20270003,5,10,0
"dgp1",3,15,20270003,6,10,0.309776343995853
"dgp1",3,15,20270003,7,10,0
"dgp1",3,15,20270003,8,10,0
"dgp1",3,15,20270003,9,10,0
"dgp1",3,15,20270003,10,10,0.309776343995853
"dgp1",3,15,20270003,11,10,0
"dgp1",3,15,20270003,12,10,0
"dgp1",3,15,20270003,13,10,0
"dgp1",3,15,20270003,14,10,0
"dgp1",3,15,20270003,15,10,0
"dgp1",3,15,20270003,1,11,0
"dgp1",3,15,20270003,2,11,0
"dgp1",3,15,20270003,3,11,0
"dgp1",3,15,20270003,4,11,0
"dgp1",3,15,20270003,5,11,0
"dgp1",3,15,20270003,6,11,0
"dgp1",3,15,20270003,7,11,0
"dgp1",3,15,20270003,8,11,0
"dgp1",3,15,20270003,9,11,0
"dgp1",3,15,20270003,10,11,0
