"dgp","idx_d","idx_T","rep","d","T_sample","truth_seed","data_seed"
"dgp1",1,4,80,5,500,20270001,20364406
"dgp1",1,4,81,5,500,20270001,20364407
"dgp1",1,4,82,5,500,20270001,20364408
"dgp1",1,4,83,5,500,20270001,20364409
"dgp1",1,4,84,5,500,20270001,20364410
"dgp1",1,4,85,5,500,20270001,20364411
"dgp1",1,4,86,5,500,20270001,20364412
"dgp1",1,4,87,5,500,20270001,20364413
"dgp1",1,4,88,5,500,20270001,20364414
"dgp1",1,4,89,5,500,20270001,20364415
"dgp1",1,4,90,5,500,20270001,20364416
"dgp1",1,4,91,5,500,20270001,20364417
"dgp1",1,4,92,5,500,20270001,20364418
"dgp1",1,4,93,5,500,20270001,20364419
"dgp1",1,4,94,5,500,20270001,20364420
"dgp1",1,4,95,5,500,20270001,20364421
"dgp1",1,4,96,5,500,20270001,20364422
"dgp1",1,4,97,5,500,20270001,20364423
"dgp1",1,4,98,5,500,20270001,20364424
"dgp1",1,4,99,5,500,20270001,20364425
"dgp1",1,4,100,5,500,20270001,20364426
"dgp1",1,5,1,5,1000,20270001,20365327
"dgp1",1,5,2,5,1000,20270001,20365328
"dgp1",1,5,3,5,1000,20270001,20365329
"dgp1",1,5,4,5,1000,20270001,20365330
"dgp1",1,5,5,5,1000,20270001,20365331
"dgp1",1,5,6,5,1000,20270001,20365332
"dgp1",1,5,7,5,1000,20270001,20365333
"dgp1",1,5,8,5,1000,20270001,20365334
"dgp1",1,5,9,5,1000,20270001,20365335
"dgp1",1,5,10,5,1000,20270001,20365336
"dgp1",1,5,11,5,1000,20270001,20365337
"dgp1",1,5,12,5,1000,20270001,20365338
"dgp1",1,5,13,5,1000,20270001,20365339
"dgp1",1,5,14,5,1000,20270001,20365340
"dgp1",1,5,15,5,1000,20270001,20365341
"dgp1",1,5,16,5,1000,20270001,20365342
"dgp1",1,5,17,5,1000,20270001,20365343
"dgp1",1,5,18,5,1000,20270001,20365344
"dgp1",1,5,19,5,1000,20270001,20365345
"dgp1",1,5,20,5,1000,20270001,20365346
"dgp1",1,5,21,5,1000,20270001,20365347
"dgp1",1,5,22,5,1000,20270001,20365348
"dgp1",1,5,23,5,1000,20270001,20365349
"dgp1",1,5,24,5,1000,20270001,20365350
"dgp1",1,5,25,5,1000,20270001,20365351
"dgp1",1,5,26,5,1000,20270001,20365352
"dgp1",1,5,27,5,1000,20270001,20365353
"dgp1",1,5,28,5,1000,20270001,20365354
"dgp1",1,5,29,5,1000,20270001,20365355
"dgp1",1,5,30,5,1000,20270001,20365356
