"tuning","d","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"cv",15,"L-Th",18,6.05555555555556,18,6.77777777777778,18,2.52777777777778,18,3.19444444444444,18,2.52777777777778,18,3.69444444444444,18
"cv",15,"L-Ref",18,8.33333333333333,18,8.05555555555556,18,7.94444444444444,18,7.55555555555556,18,7.94444444444444,18,7.5,18
"cv",15,"L-Rlx",18,5.5,18,5.44444444444444,18,7.94444444444444,18,7.55555555555556,18,7.94444444444444,18,7.5,18
"cv",15,"L-Des",18,10.3333333333333,18,10.1388888888889,18,10.5,18,10.4444444444444,18,10.5,18,10.3333333333333,18
"cv",15,"A",18,2.19444444444444,18,2.19444444444444,18,4.27777777777778,18,4.30555555555556,18,4.27777777777778,18,4.13888888888889,18
"cv",15,"A-Th",18,1.91666666666667,18,2.36111111111111,18,2.86111111111111,18,3.13888888888889,18,2.86111111111111,18,2.97222222222222,18
"cv",15,"A-Ref",18,5.11111111111111,18,4.72222222222222,18,4.27777777777778,18,4.30555555555556,18,4.27777777777778,18,4.13888888888889,18
"cv",15,"A-Rlx",18,3.38888888888889,18,2.88888888888889,18,4.27777777777778,18,4.30555555555556,18,4.27777777777778,18,4.13888888888889,18
"cv",15,"A-Des",18,10.2222222222222,18,10.0833333333333,18,10.5,18,10.4444444444444,18,10.5,18,10.3333333333333,18
"cv",15,"ScL",18,8.66666666666667,18,9,18,2.94444444444444,18,3.19444444444444,18,2.94444444444444,18,3.75,18
"cv",20,"L",18,3.5,18,3.77777777777778,18,7.55555555555556,18,7.16666666666667,18,7.55555555555556,18,7.11111111111111,18
"cv",20,"L-Th",18,6.22222222222222,18,7.27777777777778,18,3.52777777777778,18,4.5,18,3.52777777777778,18,4.94444444444444,18
"cv",20,"L-Ref",18,8,18,7.72222222222222,18,7.55555555555556,18,7.16666666666667,18,7.55555555555556,18,7.11111111111111,18
"cv",20,"L-Rlx",18,4.94444444444444,18,5.05555555555556,18,7.55555555555556,18,7.16666666666667,18,7.55555555555556,18,7.11111111111111,18
"cv",20,"L-Des",18,10.2777777777778,18,10.0555555555556,18,10.5,18,10.0555555555556,18,10.5,18,9.94444444444444,18
"cv",20,"A",18,2.47222222222222,18,1.94444444444444,18,4.38888888888889,18,4.30555555555556,18,4.38888888888889,18,4.19444444444444,18
"cv",20,"A-Th",18,2.63888888888889,18,2.5,18,3,18,3.58333333333333,18,3,18,3.47222222222222,18
"cv",20,"A-Ref",18,5.66666666666667,18,5.44444444444444,18,4.38888888888889,18,4.30555555555556,18,4.38888888888889,18,4.19444444444444,18
"cv",20,"A-Rlx",18,3.61111111111111,18,3.38888888888889,18,4.38888888888889,18,4.30555555555556,18,4.38888888888889,18,4.19444444444444,18
"cv",20,"A-Des",18,10.3888888888889,18,10.0555555555556,18,10.5,18,10.0555555555556,18,10.5,18,9.94444444444444,18
"cv",20,"ScL",18,8.27777777777778,18,8.77777777777778,18,2.63888888888889,18,3.38888888888889,18,2.63888888888889,18,3.77777777777778,18
"cv",25,"L",18,3.27777777777778,18,3.27777777777778,18,7.5,18,6.88888888888889,18,7.5,18,6.55555555555556,18
"cv",25,"L-Th",18,6.44444444444444,18,7.72222222222222,18,4.16666666666667,18,5.38888888888889,18,4.16666666666667,18,5.88888888888889,18
"cv",25,"L-Ref",18,8,18,7.83333333333333,18,7.5,18,6.88888888888889,18,7.5,18,6.55555555555556,18
"cv",25,"L-Rlx",18,4.88888888888889,18,4.72222222222222,18,7.5,18,6.88888888888889,18,7.5,18,6.55555555555556,18
"cv",25,"L-Des",18,10.3888888888889,18,10.1111111111111,18,10.5,18,9.83333333333333,18,10.5,18,9.44444444444444,18
"cv",25,"A",18,2.41666666666667,18,2.33333333333333,18,4.22222222222222,18,4.38888888888889,18,4.22222222222222,18,4.55555555555556,18
"cv",25,"A-Th",18,2.69444444444444,18,2.55555555555556,18,2.97222222222222,18,3.58333333333333,18,2.97222222222222,18,3.97222222222222,18
"cv",25,"A-Ref",18,5.94444444444444,18,5.44444444444444,18,4.22222222222222,18,4.38888888888889,18,4.22222222222222,18,4.55555555555556,18
"cv",25,"A-Rlx",18,4.05555555555556,18,3.61111111111111,18,4.22222222222222,18,4.38888888888889,18,4.22222222222222,18,4.55555555555556,18
"cv",25,"A-Des",18,10.3888888888889,18,10.1111111111111,18,10.5,18,9.83333333333333,18,10.5,18,9.44444444444444,18
"cv",25,"ScL",18,7.5,18,8.27777777777778,18,2.69444444444444,18,3.52777777777778,18,2.69444444444444,18,3.91666666666667,18
"cv",30,"L",18,3.05555555555556,18,3.05555555555556,18,7.13888888888889,18,6.27777777777778,18,7.13888888888889,18,6.22222222222222,18
"cv",30,"L-Th",18,6.5,18,7.77777777777778,18,4.88888888888889,18,6,18,4.88888888888889,18,6.72222222222222,18
"cv",30,"L-Ref",18,8.11111111111111,18,7.88888888888889,18,7.13888888888889,18,6.27777777777778,18,7.13888888888889,18,6.22222222222222,18
"cv",30,"L-Rlx",18,4.94444444444444,18,4.5,18,7.13888888888889,18,6.27777777777778,18,7.13888888888889,18,6.22222222222222,18
"cv",30,"L-Des",18,10.3888888888889,18,10.1944444444444,18,10.5,18,9.27777777777778,18,10.5,18,8.94444444444444,18
"cv",30,"A",18,2.5,18,2.19444444444444,18,4.16666666666667,18,4.97222222222222,18,4.16666666666667,18,4.80555555555556,18
"cv",30,"A-Th",18,2.72222222222222,18,2.80555555555556,18,3.44444444444444,18,4.22222222222222,18,3.44444444444444,18,4.11111111111111,18
"cv",30,"A-Ref",18,6,18,5.77777777777778,18,4.16666666666667,18,4.97222222222222,18,4.16666666666667,18,4.80555555555556,18
"cv",30,"A-Rlx",18,4.38888888888889,18,3.88888888888889,18,4.16666666666667,18,4.97222222222222,18,4.16666666666667,18,4.80555555555556,18
"cv",30,"A-Des",18,10.2777777777778,18,10.1388888888889,18,10.5,18,9.27777777777778,18,10.5,18,8.94444444444444,18
"cv",30,"ScL",18,7.11111111111111,18,7.77777777777778,18,2.75,18,3.47222222222222,18,2.75,18,4.19444444444444,18
