"tuning","dgp","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"theory","dgp2","L-Ref",36,2.86111111111111,36,3.16666666666667,36,6.11111111111111,36,4.06944444444444,36,6.11111111111111,36,3.93055555555556,36
"theory","dgp2","L-Rlx",36,1.16666666666667,36,1.30555555555556,36,6.11111111111111,36,4.06944444444444,36,6.11111111111111,36,3.93055555555556,36
"theory","dgp2","L-Des",36,6.68055555555556,36,6.63888888888889,36,10.5,36,10.2222222222222,36,10.5,36,7.61111111111111,36
"theory","dgp2","A",36,9.38888888888889,36,9.18055555555556,36,5.44444444444444,36,6.77777777777778,36,5.44444444444444,36,7.94444444444444,36
"theory","dgp2","A-Th",36,10.3333333333333,36,10.125,36,6.76388888888889,36,8.41666666666667,36,6.76388888888889,36,9.80555555555556,36
"theory","dgp2","A-Ref",36,8.25,36,8,36,5.44444444444444,36,6.77777777777778,36,5.44444444444444,36,7.94444444444444,36
"theory","dgp2","A-Rlx",36,8.02777777777778,36,7.86111111111111,36,5.44444444444444,36,6.77777777777778,36,5.44444444444444,36,7.94444444444444,36
"theory","dgp2","A-Des",36,6.65277777777778,36,6.63888888888889,36,10.5,36,10.2222222222222,36,10.5,36,7.61111111111111,36
"theory","dgp2","ScL",36,4.86111111111111,36,4.75,36,1.48611111111111,36,1.40277777777778,36,1.48611111111111,36,1.81944444444444,36
"theory","dgp3","L",36,2.72222222222222,36,2.91666666666667,36,3.66666666666667,36,3.61111111111111,36,3.66666666666667,36,3.66666666666667,36
"theory","dgp3","L-Th",36,5.11111111111111,36,6.55555555555556,36,3.88888888888889,36,5.04166666666667,36,3.88888888888889,36,5.09722222222222,36
"theory","dgp3","L-Ref",36,3.69444444444444,36,2.86111111111111,36,3.66666666666667,36,3.61111111111111,36,3.66666666666667,36,3.66666666666667,36
