"tuning","T_sample","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"theory",500,"A-Th",18,10.8055555555556,18,10.75,18,6.88888888888889,18,8.41666666666667,18,6.88888888888889,18,9.47222222222222,18
"theory",500,"A-Ref",18,7.5,18,7.66666666666667,18,5.36111111111111,18,6.77777777777778,18,5.36111111111111,18,7.66666666666667,18
"theory",500,"A-Rlx",18,8.5,18,8.55555555555556,18,5.36111111111111,18,6.77777777777778,18,5.36111111111111,18,7.66666666666667,18
"theory",500,"A-Des",18,5.91666666666667,18,5.80555555555556,18,10.5,18,9.16666666666667,18,10.5,18,7.38888888888889,18
"theory",500,"ScL",18,5.22222222222222,18,5.22222222222222,18,2.27777777777778,18,2.27777777777778,18,2.27777777777778,18,2.27777777777778,18
"theory",1000,"L",18,3.11111111111111,18,3.05555555555556,18,6.25,18,4.88888888888889,18,6.25,18,4.88888888888889,18
"theory",1000,"L-Th",18,3.66666666666667,18,4.05555555555556,18,2.08333333333333,18,2.30555555555556,18,2.08333333333333,18,2.30555555555556,18
"theory",1000,"L-Ref",18,3.22222222222222,18,3.22222222222222,18,6.25,18,4.88888888888889,18,6.25,18,4.88888888888889,18
"theory",1000,"L-Rlx",18,1.83333333333333,18,1.83333333333333,18,6.25,18,4.88888888888889,18,6.25,18,4.88888888888889,18
"theory",1000,"L-Des",18,6.13888888888889,18,5.86111111111111,18,10.5,18,9.44444444444444,18,10.5,18,8.83333333333333,18
"theory",1000,"A",18,9.88888888888889,18,10.0277777777778,18,4.88888888888889,18,6.41666666666667,18,4.88888888888889,18,6.52777777777778,18
"theory",1000,"A-Th",18,10.6666666666667,18,10.75,18,6.77777777777778,18,8.16666666666667,18,6.77777777777778,18,9.05555555555556,18
"theory",1000,"A-Ref",18,7.05555555555556,18,6.66666666666667,18,4.88888888888889,18,6.41666666666667,18,4.88888888888889,18,6.52777777777778,18
"theory",1000,"A-Rlx",18,8.44444444444444,18,8.83333333333333,18,4.88888888888889,18,6.41666666666667,18,4.88888888888889,18,6.52777777777778,18
"theory",1000,"A-Des",18,6.19444444444444,18,5.80555555555556,18,10.5,18,9.44444444444444,18,10.5,18,8.83333333333333,18
"theory",1000,"ScL",18,5.77777777777778,18,5.88888888888889,18,2.72222222222222,18,2.72222222222222,18,2.72222222222222,18,2.72222222222222,18
"theory",2000,"L",18,3.55555555555556,18,3.55555555555556,18,7.05555555555556,18,6.55555555555556,18,7.05555555555556,18,6.55555555555556,18
"theory",2000,"L-Th",18,3.11111111111111,18,3.66666666666667,18,1.72222222222222,18,2,18,1.72222222222222,18,2,18
"theory",2000,"L-Ref",18,3.22222222222222,18,3.44444444444444,18,7.05555555555556,18,6.55555555555556,18,7.05555555555556,18,6.55555555555556,18
"theory",2000,"L-Rlx",18,1.83333333333333,18,1.83333333333333,18,7.05555555555556,18,6.55555555555556,18,7.05555555555556,18,6.55555555555556,18
"theory",2000,"L-Des",18,6.41666666666667,18,5.88888888888889,18,10.5,18,9.72222222222222,18,10.5,18,9.66666666666667,18
