"snr","tuning","T_sample","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
2,"theory",200,"A",18,9.86111111111111,10.0277777777778,5.88888888888889,6.22222222222222,5.88888888888889,7
2,"theory",200,"A-Th",18,10.8055555555556,10.9722222222222,8.11111111111111,8.88888888888889,8.11111111111111,9.44444444444444
2,"theory",200,"A-Ref",18,7.44444444444444,7.16666666666667,5.88888888888889,6.22222222222222,5.88888888888889,7
2,"theory",200,"A-Rlx",18,8.72222222222222,8.83333333333333,5.88888888888889,6.22222222222222,5.88888888888889,7
2,"theory",200,"A-Des",18,5.05555555555556,5.16666666666667,10.5,9.61111111111111,10.5,8.16666666666667
2,"theory",200,"ScL",18,4.44444444444444,4.22222222222222,3.94444444444444,3.75,3.94444444444444,3.69444444444444
2,"theory",300,"L",18,5.44444444444444,5.38888888888889,4.91666666666667,4.91666666666667,4.91666666666667,4.91666666666667
2,"theory",300,"L-Th",18,5.66666666666667,5.66666666666667,1.88888888888889,1.88888888888889,1.88888888888889,1.88888888888889
2,"theory",300,"L-Ref",18,1.33333333333333,1.61111111111111,4.91666666666667,4.91666666666667,4.91666666666667,4.91666666666667
2,"theory",300,"L-Rlx",18,2.11111111111111,1.88888888888889,4.91666666666667,4.91666666666667,4.91666666666667,4.91666666666667
2,"theory",300,"L-Des",18,5.66666666666667,5.61111111111111,10.5,9.83333333333333,10.5,8.94444444444444
2,"theory",300,"A",18,9.94444444444444,10.0555555555556,5.55555555555556,5.88888888888889,5.55555555555556,6.22222222222222
2,"theory",300,"A-Th",18,10.8333333333333,10.9444444444444,7.5,7.83333333333333,7.5,8.61111111111111
2,"theory",300,"A-Ref",18,6.83333333333333,6.55555555555556,5.55555555555556,5.88888888888889,5.55555555555556,6.22222222222222
2,"theory",300,"A-Rlx",18,8.72222222222222,8.83333333333333,5.55555555555556,5.88888888888889,5.55555555555556,6.22222222222222
2,"theory",300,"A-Des",18,5.11111111111111,5.16666666666667,10.5,9.83333333333333,10.5,8.94444444444444
2,"theory",300,"ScL",18,4.33333333333333,4.27777777777778,4.19444444444444,4.19444444444444,4.19444444444444,4.19444444444444
2,"theory",500,"L",18,5.61111111111111,5.16666666666667,5.47222222222222,5.30555555555556,5.47222222222222,5.30555555555556
2,"theory",500,"L-Th",18,5.33333333333333,5.55555555555556,1.44444444444444,1.44444444444444,1.44444444444444,1.44444444444444
2,"theory",500,"L-Ref",18,1.38888888888889,1.83333333333333,5.47222222222222,5.30555555555556,5.47222222222222,5.30555555555556
2,"theory",500,"L-Rlx",18,2.05555555555556,2.27777777777778,5.47222222222222,5.30555555555556,5.47222222222222,5.30555555555556
2,"theory",500,"L-Des",18,5.72222222222222,5.61111111111111,10.5,9.83333333333333,10.5,9.61111111111111
2,"theory",500,"A",18,10.0555555555556,10.1111111111111,5.05555555555556,5.55555555555556,5.05555555555556,5.55555555555556
2,"theory",500,"A-Th",18,10.8333333333333,10.8888888888889,7,7.44444444444444,7,7.88888888888889
2,"theory",500,"A-Ref",18,6.44444444444444,6.16666666666667,5.05555555555556,5.55555555555556,5.05555555555556,5.55555555555556
2,"theory",500,"A-Rlx",18,8.72222222222222,8.72222222222222,5.05555555555556,5.55555555555556,5.05555555555556,5.55555555555556
2,"theory",500,"A-Des",18,5.5,5.5,10.5,9.83333333333333,10.5,9.61111111111111
2,"theory",500,"ScL",18,4.33333333333333,4.16666666666667,4.97222222222222,4.86111111111111,4.97222222222222,4.86111111111111
2,"theory",1000,"L",18,6.11111111111111,5.22222222222222,6.33333333333333,5.80555555555556,6.33333333333333,5.80555555555556
