"snr","tuning","d","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
1,"theory",20,"A-Th",18,10.5555555555556,10.75,7.44444444444444,8.55555555555556,7.44444444444444,9.22222222222222
1,"theory",20,"A-Ref",18,7.88888888888889,7.05555555555556,5.33333333333333,6.27777777777778,5.33333333333333,6.72222222222222
1,"theory",20,"A-Rlx",18,8.61111111111111,8.72222222222222,5.33333333333333,6.27777777777778,5.33333333333333,6.72222222222222
1,"theory",20,"A-Des",18,5.94444444444444,5.61111111111111,10.5,9.44444444444444,10.5,8.38888888888889
1,"theory",20,"ScL",18,5.05555555555556,5.11111111111111,2.66666666666667,2.55555555555556,2.66666666666667,2.55555555555556
1,"theory",25,"L",18,3.38888888888889,3.55555555555556,5.38888888888889,4.5,5.38888888888889,4.27777777777778
1,"theory",25,"L-Th",18,4.66666666666667,5.55555555555556,1.94444444444444,3.11111111111111,1.94444444444444,3.22222222222222
1,"theory",25,"L-Ref",18,2,2.16666666666667,5.38888888888889,4.5,5.38888888888889,4.27777777777778
1,"theory",25,"L-Rlx",18,1.27777777777778,1.33333333333333,5.38888888888889,4.5,5.38888888888889,4.27777777777778
1,"theory",25,"L-Des",18,6.61111111111111,6.22222222222222,10.5,9.22222222222222,10.5,8.11111111111111
1,"theory",25,"A",18,9.66666666666667,9.72222222222222,5.47222222222222,6.61111111111111,5.47222222222222,7.22222222222222
1,"theory",25,"A-Th",18,10.6111111111111,10.6666666666667,7.69444444444444,8.77777777777778,7.69444444444444,9.72222222222222
1,"theory",25,"A-Ref",18,8.16666666666667,7.83333333333333,5.47222222222222,6.61111111111111,5.47222222222222,7.22222222222222
1,"theory",25,"A-Rlx",18,8.44444444444444,8.55555555555556,5.47222222222222,6.61111111111111,5.47222222222222,7.22222222222222
1,"theory",25,"A-Des",18,6.05555555555556,5.33333333333333,10.5,9.22222222222222,10.5,8.11111111111111
1,"theory",25,"ScL",18,5.11111111111111,5.05555555555556,2.77777777777778,2.33333333333333,2.77777777777778,2.33333333333333
1,"theory",30,"L",18,3.22222222222222,3.5,5.55555555555556,4.22222222222222,5.55555555555556,4.22222222222222
1,"theory",30,"L-Th",18,4.66666666666667,5.11111111111111,2.16666666666667,3.22222222222222,2.16666666666667,3.33333333333333
1,"theory",30,"L-Ref",18,2.11111111111111,2.44444444444444,5.55555555555556,4.22222222222222,5.55555555555556,4.22222222222222
1,"theory",30,"L-Rlx",18,1.22222222222222,1.33333333333333,5.55555555555556,4.22222222222222,5.55555555555556,4.22222222222222
1,"theory",30,"L-Des",18,7.27777777777778,6.5,10.5,9,10.5,7.94444444444444
1,"theory",30,"A",18,9.11111111111111,9.69444444444444,5.38888888888889,6.88888888888889,5.38888888888889,7.33333333333333
1,"theory",30,"A-Th",18,10.3333333333333,10.6388888888889,7.38888888888889,8.94444444444444,7.38888888888889,9.61111111111111
1,"theory",30,"A-Ref",18,8.33333333333333,7.61111111111111,5.38888888888889,6.88888888888889,5.38888888888889,7.33333333333333
1,"theory",30,"A-Rlx",18,8.38888888888889,8.44444444444444,5.38888888888889,6.88888888888889,5.38888888888889,7.33333333333333
1,"theory",30,"A-Des",18,6.27777777777778,5.72222222222222,10.5,9,10.5,7.94444444444444
1,"theory",30,"ScL",18,5.05555555555556,5,2.61111111111111,2.5,2.61111111111111,2.5
1,"cv",5,"L",18,6.83333333333333,5.66666666666667,8,8,8,8
1,"cv",5,"L-Th",18,5.5,6.61111111111111,3.02777777777778,2.77777777777778,3.02777777777778,2.77777777777778
1,"cv",5,"L-Ref",18,7.94444444444444,7.55555555555556,8,8,8,8
1,"cv",5,"L-Rlx",18,5.55555555555556,4.88888888888889,8,8,8,8
1,"cv",5,"L-Des",18,10.5,9.61111111111111,10.5,10.5,10.5,10.5
1,"cv",5,"A",18,2.91666666666667,3.80555555555556,3.16666666666667,3.22222222222222,3.16666666666667,3.22222222222222
1,"cv",5,"A-Th",18,2.86111111111111,3.75,2.86111111111111,2.94444444444444,2.86111111111111,2.94444444444444
1,"cv",5,"A-Ref",18,2.88888888888889,3.38888888888889,3.16666666666667,3.22222222222222,3.16666666666667,3.22222222222222
1,"cv",5,"A-Rlx",18,2,2.77777777777778,3.16666666666667,3.22222222222222,3.16666666666667,3.22222222222222
1,"cv",5,"A-Des",18,9.72222222222222,9.5,10.5,10.5,10.5,10.5
1,"cv",5,"ScL",18,9.27777777777778,8.44444444444444,5.61111111111111,5.61111111111111,5.61111111111111,5.61111111111111
1,"cv",10,"L",18,5.77777777777778,5.55555555555556,8,8,8,8
1,"cv",10,"L-Th",18,5.11111111111111,5.11111111111111,2.30555555555556,2.47222222222222,2.30555555555556,2.47222222222222
1,"cv",10,"L-Ref",18,8.38888888888889,8.61111111111111,8,8,8,8
1,"cv",10,"L-Rlx",18,6.05555555555556,6.05555555555556,8,8,8,8
1,"cv",10,"L-Des",18,10.5,10.5,10.5,10.5,10.5,10.5
1,"cv",10,"A",18,2.83333333333333,2.69444444444444,3.47222222222222,3.52777777777778,3.47222222222222,3.52777777777778
1,"cv",10,"A-Th",18,2.5,2.86111111111111,2.83333333333333,2.55555555555556,2.83333333333333,2.55555555555556
1,"cv",10,"A-Ref",18,3.94444444444444,3.44444444444444,3.47222222222222,3.52777777777778,3.47222222222222,3.52777777777778
1,"cv",10,"A-Rlx",18,1.94444444444444,2.94444444444444,3.47222222222222,3.52777777777778,3.47222222222222,3.52777777777778
1,"cv",10,"A-Des",18,9.83333333333333,9.83333333333333,10.5,10.5,10.5,10.5
1,"cv",10,"ScL",18,9.11111111111111,8.38888888888889,5.44444444444444,5.38888888888889,5.44444444444444,5.38888888888889
1,"cv",15,"L",18,5.38888888888889,5.27777777777778,8,7.94444444444444,8,7.94444444444444
1,"cv",15,"L-Th",18,5.16666666666667,5.77777777777778,1.83333333333333,2.02777777777778,1.83333333333333,2.02777777777778
1,"cv",15,"L-Ref",18,8.61111111111111,8.55555555555556,8,7.94444444444444,8,7.94444444444444
1,"cv",15,"L-Rlx",18,6.11111111111111,6.38888888888889,8,7.94444444444444,8,7.94444444444444
1,"cv",15,"L-Des",18,10.6111111111111,10.6111111111111,10.5,10.5,10.5,10.5
1,"cv",15,"A",18,2.55555555555556,2.44444444444444,3.80555555555556,3.88888888888889,3.80555555555556,3.88888888888889
