"snr","tuning","dgp","d","T_sample","method","rank_frob","rank_rmfe","rank_hamming","rank_F1","rank_off_hamming","rank_off_F1"
1,"theory","dgp1",15,100,"L-Des",7,7,10.5,10.5,10.5,9.5
1,"theory","dgp1",15,100,"A",10,10,4,4,4,7
1,"theory","dgp1",15,100,"A-Th",11,11,6,9,6,11
1,"theory","dgp1",15,100,"A-Ref",8,8,4,4,4,7
1,"theory","dgp1",15,100,"A-Rlx",9,9,4,4,4,7
1,"theory","dgp1",15,100,"A-Des",6,6,10.5,10.5,10.5,9.5
1,"theory","dgp1",15,100,"ScL",5,4,2,2,2,2
1,"theory","dgp1",15,200,"L",3,3,8,8,8,7
1,"theory","dgp1",15,200,"L-Th",2,2,1,1,1,1
1,"theory","dgp1",15,200,"L-Ref",4,4,8,8,8,7
1,"theory","dgp1",15,200,"L-Rlx",1,1,8,8,8,7
1,"theory","dgp1",15,200,"L-Des",8,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",15,200,"A",10,10,3,3,3,3
1,"theory","dgp1",15,200,"A-Th",11,11,6,6,6,9
1,"theory","dgp1",15,200,"A-Ref",6,6,3,3,3,3
1,"theory","dgp1",15,200,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp1",15,200,"A-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",15,200,"ScL",5,5,5,5,5,5
1,"theory","dgp1",15,300,"L",4,2,8,8,8,8
1,"theory","dgp1",15,300,"L-Th",3,3,2.5,2.5,2.5,2.5
1,"theory","dgp1",15,300,"L-Ref",5,5,8,8,8,8
1,"theory","dgp1",15,300,"L-Rlx",2,1,8,8,8,8
1,"theory","dgp1",15,300,"L-Des",8,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",15,300,"A",10,10,2.5,2.5,2.5,2.5
1,"theory","dgp1",15,300,"A-Th",11,11,5,5,5,5
1,"theory","dgp1",15,300,"A-Ref",1,4,2.5,2.5,2.5,2.5
1,"theory","dgp1",15,300,"A-Rlx",9,9,2.5,2.5,2.5,2.5
1,"theory","dgp1",15,300,"A-Des",7,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",15,300,"ScL",6,6,6,6,6,6
1,"theory","dgp1",15,500,"L",4,6,8,8,8,8
1,"theory","dgp1",15,500,"L-Th",3,4,3,3,3,3
1,"theory","dgp1",15,500,"L-Ref",5,3,8,8,8,8
