"snr","tuning","dgp","d","T_sample","method","rank_frob","rank_rmfe","rank_hamming","rank_F1","rank_off_hamming","rank_off_F1"
1,"theory","dgp2",30,1000,"L-Th",4,3,1,1,1,1
1,"theory","dgp2",30,1000,"L-Ref",2,4,8,4,8,4
1,"theory","dgp2",30,1000,"L-Rlx",1,1,8,4,8,4
1,"theory","dgp2",30,1000,"L-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp2",30,1000,"A",10,10,4,7,4,7
1,"theory","dgp2",30,1000,"A-Th",11,11,6,9,6,9
1,"theory","dgp2",30,1000,"A-Ref",8,8,4,7,4,7
1,"theory","dgp2",30,1000,"A-Rlx",9,9,4,7,4,7
1,"theory","dgp2",30,1000,"A-Des",6,6,10.5,10.5,10.5,10.5
1,"theory","dgp2",30,1000,"ScL",5,5,2,2,2,2
1,"theory","dgp2",30,2000,"L",4,2,8,7,8,7
1,"theory","dgp2",30,2000,"L-Th",3,3,1,1,1,1
1,"theory","dgp2",30,2000,"L-Ref",2,5,8,7,8,7
1,"theory","dgp2",30,2000,"L-Rlx",1,1,8,7,8,7
1,"theory","dgp2",30,2000,"L-Des",7,6,10.5,10.5,10.5,10.5
1,"theory","dgp2",30,2000,"A",10,10,3,3,3,3
1,"theory","dgp2",30,2000,"A-Th",11,11,5,9,5,9
1,"theory","dgp2",30,2000,"A-Ref",8,8,3,3,3,3
1,"theory","dgp2",30,2000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp2",30,2000,"A-Des",6,7,10.5,10.5,10.5,10.5
1,"theory","dgp2",30,2000,"ScL",5,4,6,5,6,5
1,"theory","dgp3",5,100,"L",5,6,4,4,4,4
1,"theory","dgp3",5,100,"L-Th",7,7,1,1,1,1
1,"theory","dgp3",5,100,"L-Ref",2,2,4,4,4,4
1,"theory","dgp3",5,100,"L-Rlx",1,1,4,4,4,4
1,"theory","dgp3",5,100,"L-Des",4,4,10.5,10.5,10.5,9.5
1,"theory","dgp3",5,100,"A",10,10,7,7,7,7
1,"theory","dgp3",5,100,"A-Th",11,11,9,9,9,11
1,"theory","dgp3",5,100,"A-Ref",9,8,7,7,7,7
1,"theory","dgp3",5,100,"A-Rlx",8,9,7,7,7,7
1,"theory","dgp3",5,100,"A-Des",3,3,10.5,10.5,10.5,9.5
1,"theory","dgp3",5,100,"ScL",6,5,2,2,2,2
1,"theory","dgp3",5,200,"L",7,7,7,7,7,5.5
1,"theory","dgp3",5,200,"L-Th",4,3,1,1,1,1
1,"theory","dgp3",5,200,"L-Ref",2,1,7,7,7,5.5
1,"theory","dgp3",5,200,"L-Rlx",1,2,7,7,7,5.5
1,"theory","dgp3",5,200,"L-Des",5,5,10.5,10.5,10.5,10.5
1,"theory","dgp3",5,200,"A",10,10,3.5,4,3.5,5.5
1,"theory","dgp3",5,200,"A-Th",11,11,9,9,9,9
1,"theory","dgp3",5,200,"A-Ref",8,8,3.5,4,3.5,5.5
1,"theory","dgp3",5,200,"A-Rlx",9,9,3.5,4,3.5,5.5
1,"theory","dgp3",5,200,"A-Des",6,6,10.5,10.5,10.5,10.5
1,"theory","dgp3",5,200,"ScL",3,4,3.5,2,3.5,2
1,"theory","dgp3",5,300,"L",5,5,8,8,8,7.5
1,"theory","dgp3",5,300,"L-Th",3,4,1,1,1,1
1,"theory","dgp3",5,300,"L-Ref",2,2,8,8,8,7.5
1,"theory","dgp3",5,300,"L-Rlx",1,1,8,8,8,7.5
1,"theory","dgp3",5,300,"L-Des",7,6,10.5,10.5,10.5,10.5
1,"theory","dgp3",5,300,"A",10,10,3,3,3,3
1,"theory","dgp3",5,300,"A-Th",11,11,5.5,6,5.5,7.5
1,"theory","dgp3",5,300,"A-Ref",8,8,3,3,3,3
1,"theory","dgp3",5,300,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp3",5,300,"A-Des",6,7,10.5,10.5,10.5,10.5
1,"theory","dgp3",5,300,"ScL",4,3,5.5,5,5.5,5
1,"theory","dgp3",5,500,"L",6,5,8,8,8,8
1,"theory","dgp3",5,500,"L-Th",5,3,3,3,3,3
1,"theory","dgp3",5,500,"L-Ref",3,1,8,8,8,8
1,"theory","dgp3",5,500,"L-Rlx",2,2,8,8,8,8
1,"theory","dgp3",5,500,"L-Des",8,8,10.5,10.5,10.5,10.5
1,"theory","dgp3",5,500,"A",10,10.5,3,3,3,3
1,"theory","dgp3",5,500,"A-Th",11,10.5,3,3,3,3
1,"theory","dgp3",5,500,"A-Ref",1,4,3,3,3,3
1,"theory","dgp3",5,500,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp3",5,500,"A-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp3",5,500,"ScL",4,6,6,6,6,6
1,"theory","dgp3",5,1000,"L",8,8,8,8,8,8
1,"theory","dgp3",5,1000,"L-Th",7,5,3,3,3,3
1,"theory","dgp3",5,1000,"L-Ref",3,4,8,8,8,8
1,"theory","dgp3",5,1000,"L-Rlx",2,2,8,8,8,8
1,"theory","dgp3",5,1000,"L-Des",5,6,10.5,10.5,10.5,10.5
1,"theory","dgp3",5,1000,"A",10.5,10.5,3,3,3,3
1,"theory","dgp3",5,1000,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp3",5,1000,"A-Ref",1,1,3,3,3,3
1,"theory","dgp3",5,1000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp3",5,1000,"A-Des",6,7,10.5,10.5,10.5,10.5
1,"theory","dgp3",5,1000,"ScL",4,3,6,6,6,6
1,"theory","dgp3",5,2000,"L",6,3,8,8,8,8
1,"theory","dgp3",5,2000,"L-Th",5,8,3,3,3,3
1,"theory","dgp3",5,2000,"L-Ref",3,2,8,8,8,8
1,"theory","dgp3",5,2000,"L-Rlx",2,1,8,8,8,8
1,"theory","dgp3",5,2000,"L-Des",8,7,10.5,10.5,10.5,10.5
1,"theory","dgp3",5,2000,"A",10.5,10.5,3,3,3,3
1,"theory","dgp3",5,2000,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp3",5,2000,"A-Ref",1,4,3,3,3,3
1,"theory","dgp3",5,2000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp3",5,2000,"A-Des",7,6,10.5,10.5,10.5,10.5
1,"theory","dgp3",5,2000,"ScL",4,5,6,6,6,6
1,"theory","dgp3",10,100,"L",3,5,3,3,3,3
1,"theory","dgp3",10,100,"L-Th",7,7,5,5,5,7
1,"theory","dgp3",10,100,"L-Ref",2,2,3,3,3,3
1,"theory","dgp3",10,100,"L-Rlx",1,1,3,3,3,3
1,"theory","dgp3",10,100,"L-Des",5,4,10.5,6.5,10.5,5.5
1,"theory","dgp3",10,100,"A",10,10,7,9,7,9
1,"theory","dgp3",10,100,"A-Th",11,11,9,11,9,11
1,"theory","dgp3",10,100,"A-Ref",9,9,7,9,7,9
1,"theory","dgp3",10,100,"A-Rlx",8,8,7,9,7,9
1,"theory","dgp3",10,100,"A-Des",4,3,10.5,6.5,10.5,5.5
1,"theory","dgp3",10,100,"ScL",6,6,1,1,1,1
1,"theory","dgp3",10,200,"L",3,5,4,4,4,4
1,"theory","dgp3",10,200,"L-Th",7,7,1,1,1,1
1,"theory","dgp3",10,200,"L-Ref",1,1,4,4,4,4
1,"theory","dgp3",10,200,"L-Rlx",2,2,4,4,4,4
1,"theory","dgp3",10,200,"L-Des",5,4,10.5,6.5,10.5,6.5
1,"theory","dgp3",10,200,"A",10,10,7,9,7,9
1,"theory","dgp3",10,200,"A-Th",11,11,9,11,9,11
1,"theory","dgp3",10,200,"A-Ref",9,8,7,9,7,9
1,"theory","dgp3",10,200,"A-Rlx",8,9,7,9,7,9
1,"theory","dgp3",10,200,"A-Des",4,3,10.5,6.5,10.5,6.5
1,"theory","dgp3",10,200,"ScL",6,6,2,2,2,2
1,"theory","dgp3",10,300,"L",5,5,4,4,4,4
1,"theory","dgp3",10,300,"L-Th",6,6,1,1,1,1
1,"theory","dgp3",10,300,"L-Ref",1,1,4,4,4,4
1,"theory","dgp3",10,300,"L-Rlx",2,2,4,4,4,4
1,"theory","dgp3",10,300,"L-Des",3,4,10.5,9.5,10.5,9.5
1,"theory","dgp3",10,300,"A",10,10,7,7,7,7
1,"theory","dgp3",10,300,"A-Th",11,11,9,11,9,11
1,"theory","dgp3",10,300,"A-Ref",8,8,7,7,7,7
1,"theory","dgp3",10,300,"A-Rlx",9,9,7,7,7,7
1,"theory","dgp3",10,300,"A-Des",4,3,10.5,9.5,10.5,9.5
1,"theory","dgp3",10,300,"ScL",7,7,2,2,2,2
1,"theory","dgp3",10,500,"L",6,4,5.5,4,5.5,4
1,"theory","dgp3",10,500,"L-Th",3,3,1,1,1,1
1,"theory","dgp3",10,500,"L-Ref",1,2,5.5,4,5.5,4
1,"theory","dgp3",10,500,"L-Rlx",2,1,5.5,4,5.5,4
1,"theory","dgp3",10,500,"L-Des",5,5,10.5,10.5,10.5,10.5
1,"theory","dgp3",10,500,"A",10,10,5.5,7,5.5,7
1,"theory","dgp3",10,500,"A-Th",11,11,9,9,9,9
1,"theory","dgp3",10,500,"A-Ref",8,8,5.5,7,5.5,7
1,"theory","dgp3",10,500,"A-Rlx",9,9,5.5,7,5.5,7
1,"theory","dgp3",10,500,"A-Des",4,6,10.5,10.5,10.5,10.5
1,"theory","dgp3",10,500,"ScL",7,7,2,2,2,2
1,"theory","dgp3",10,1000,"L",4,5,8,8,8,8
1,"theory","dgp3",10,1000,"L-Th",3,6,1,1,1,1
1,"theory","dgp3",10,1000,"L-Ref",2,2,8,8,8,8
1,"theory","dgp3",10,1000,"L-Rlx",1,1,8,8,8,8
1,"theory","dgp3",10,1000,"L-Des",6,4,10.5,10.5,10.5,10.5
1,"theory","dgp3",10,1000,"A",10,10,3,3,3,3
1,"theory","dgp3",10,1000,"A-Th",11,11,5,5,5,5
1,"theory","dgp3",10,1000,"A-Ref",8,8,3,3,3,3
1,"theory","dgp3",10,1000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp3",10,1000,"A-Des",5,3,10.5,10.5,10.5,10.5
1,"theory","dgp3",10,1000,"ScL",7,7,6,6,6,6
1,"theory","dgp3",10,2000,"L",7,3,8,8,8,8
1,"theory","dgp3",10,2000,"L-Th",4,4,3,3,3,3
1,"theory","dgp3",10,2000,"L-Ref",2,2,8,8,8,8
1,"theory","dgp3",10,2000,"L-Rlx",3,5,8,8,8,8
1,"theory","dgp3",10,2000,"L-Des",5,8,10.5,10.5,10.5,10.5
1,"theory","dgp3",10,2000,"A",10.5,10.5,3,3,3,3
1,"theory","dgp3",10,2000,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp3",10,2000,"A-Ref",1,1,3,3,3,3
1,"theory","dgp3",10,2000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp3",10,2000,"A-Des",6,7,10.5,10.5,10.5,10.5
1,"theory","dgp3",10,2000,"ScL",8,6,6,6,6,6
1,"theory","dgp3",15,100,"L",3,3,3,3,3,3
1,"theory","dgp3",15,100,"L-Th",7,7,5,5,5,7
1,"theory","dgp3",15,100,"L-Ref",2,2,3,3,3,3
1,"theory","dgp3",15,100,"L-Rlx",1,1,3,3,3,3
1,"theory","dgp3",15,100,"L-Des",5,5,10.5,6.5,10.5,5.5
1,"theory","dgp3",15,100,"A",9,10,7,9,7,9
1,"theory","dgp3",15,100,"A-Th",10,11,9,11,9,11
1,"theory","dgp3",15,100,"A-Ref",11,9,7,9,7,9
1,"theory","dgp3",15,100,"A-Rlx",8,8,7,9,7,9
1,"theory","dgp3",15,100,"A-Des",4,4,10.5,6.5,10.5,5.5
1,"theory","dgp3",15,100,"ScL",6,6,1,1,1,1
1,"theory","dgp3",15,200,"L",3,3,4,3,4,3
1,"theory","dgp3",15,200,"L-Th",7,7,2,5,2,5
1,"theory","dgp3",15,200,"L-Ref",1,1,4,3,4,3
1,"theory","dgp3",15,200,"L-Rlx",2,2,4,3,4,3
1,"theory","dgp3",15,200,"L-Des",5,5,10.5,6.5,10.5,6.5
1,"theory","dgp3",15,200,"A",10,10,7,9,7,9
1,"theory","dgp3",15,200,"A-Th",11,11,9,11,9,11
1,"theory","dgp3",15,200,"A-Ref",9,8,7,9,7,9
1,"theory","dgp3",15,200,"A-Rlx",8,9,7,9,7,9
1,"theory","dgp3",15,200,"A-Des",4,4,10.5,6.5,10.5,6.5
1,"theory","dgp3",15,200,"ScL",6,6,1,1,1,1
1,"theory","dgp3",15,300,"L",3,5,4,4,4,4
1,"theory","dgp3",15,300,"L-Th",6,6,1,1,1,1
1,"theory","dgp3",15,300,"L-Ref",1,2,4,4,4,4
1,"theory","dgp3",15,300,"L-Rlx",2,1,4,4,4,4
1,"theory","dgp3",15,300,"L-Des",5,4,10.5,9.5,10.5,6.5
1,"theory","dgp3",15,300,"A",10,10,7,7,7,9
1,"theory","dgp3",15,300,"A-Th",11,11,9,11,9,11
1,"theory","dgp3",15,300,"A-Ref",9,8,7,7,7,9
1,"theory","dgp3",15,300,"A-Rlx",8,9,7,7,7,9
1,"theory","dgp3",15,300,"A-Des",4,3,10.5,9.5,10.5,6.5
1,"theory","dgp3",15,300,"ScL",7,7,2,2,2,2
1,"theory","dgp3",15,500,"L",4,5,4,4,4,4
1,"theory","dgp3",15,500,"L-Th",3,6,1,1,1,1
1,"theory","dgp3",15,500,"L-Ref",1,1,4,4,4,4
1,"theory","dgp3",15,500,"L-Rlx",2,2,4,4,4,4
1,"theory","dgp3",15,500,"L-Des",6,3,10.5,9.5,10.5,9.5
1,"theory","dgp3",15,500,"A",10,10,7,7,7,7
1,"theory","dgp3",15,500,"A-Th",11,11,9,11,9,11
1,"theory","dgp3",15,500,"A-Ref",8,8,7,7,7,7
1,"theory","dgp3",15,500,"A-Rlx",9,9,7,7,7,7
1,"theory","dgp3",15,500,"A-Des",5,4,10.5,9.5,10.5,9.5
1,"theory","dgp3",15,500,"ScL",7,7,2,2,2,2
1,"theory","dgp3",15,1000,"L",4,6,7,7,7,7
1,"theory","dgp3",15,1000,"L-Th",3,5,1,1,1,1
1,"theory","dgp3",15,1000,"L-Ref",2,2,7,7,7,7
1,"theory","dgp3",15,1000,"L-Rlx",1,1,7,7,7,7
1,"theory","dgp3",15,1000,"L-Des",5,4,10.5,10.5,10.5,10.5
1,"theory","dgp3",15,1000,"A",10,10,3,3,3,3
1,"theory","dgp3",15,1000,"A-Th",11,11,9,9,9,9
1,"theory","dgp3",15,1000,"A-Ref",8,8,3,3,3,3
1,"theory","dgp3",15,1000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp3",15,1000,"A-Des",6,3,10.5,10.5,10.5,10.5
1,"theory","dgp3",15,1000,"ScL",7,7,5,5,5,5
1,"theory","dgp3",15,2000,"L",5,5,8,8,8,8
1,"theory","dgp3",15,2000,"L-Th",4,4,2.5,2.5,2.5,2.5
1,"theory","dgp3",15,2000,"L-Ref",3,3,8,8,8,8
1,"theory","dgp3",15,2000,"L-Rlx",2,2,8,8,8,8
1,"theory","dgp3",15,2000,"L-Des",6,7,10.5,10.5,10.5,10.5
1,"theory","dgp3",15,2000,"A",10,10,2.5,2.5,2.5,2.5
1,"theory","dgp3",15,2000,"A-Th",11,11,5,5,5,5
1,"theory","dgp3",15,2000,"A-Ref",1,1,2.5,2.5,2.5,2.5
1,"theory","dgp3",15,2000,"A-Rlx",9,9,2.5,2.5,2.5,2.5
1,"theory","dgp3",15,2000,"A-Des",7,6,10.5,10.5,10.5,10.5
1,"theory","dgp3",15,2000,"ScL",8,8,6,6,6,6
1,"theory","dgp3",20,100,"L",3,3,2,2,2,2
1,"theory","dgp3",20,100,"L-Th",7,7,5,7,5,7
1,"theory","dgp3",20,100,"L-Ref",2,2,2,2,2,2
1,"theory","dgp3",20,100,"L-Rlx",1,1,2,2,2,2
1,"theory","dgp3",20,100,"L-Des",6,5,10.5,5.5,10.5,5.5
1,"theory","dgp3",20,100,"A",8,10,7,9,7,9
1,"theory","dgp3",20,100,"A-Th",10,11,9,11,9,11
1,"theory","dgp3",20,100,"A-Ref",11,9,7,9,7,9
1,"theory","dgp3",20,100,"A-Rlx",9,8,7,9,7,9
1,"theory","dgp3",20,100,"A-Des",5,4,10.5,5.5,10.5,5.5
1,"theory","dgp3",20,100,"ScL",4,6,4,4,4,4
1,"theory","dgp3",20,200,"L",3,5,3,3,3,3
1,"theory","dgp3",20,200,"L-Th",7,7,5,7,5,7
1,"theory","dgp3",20,200,"L-Ref",2,1,3,3,3,3
1,"theory","dgp3",20,200,"L-Rlx",1,2,3,3,3,3
1,"theory","dgp3",20,200,"L-Des",5,4,10.5,5.5,10.5,5.5
1,"theory","dgp3",20,200,"A",9,10,7,9,7,9
1,"theory","dgp3",20,200,"A-Th",10,11,9,11,9,11
1,"theory","dgp3",20,200,"A-Ref",11,8,7,9,7,9
1,"theory","dgp3",20,200,"A-Rlx",8,9,7,9,7,9
1,"theory","dgp3",20,200,"A-Des",4,3,10.5,5.5,10.5,5.5
1,"theory","dgp3",20,200,"ScL",6,6,1,1,1,1
1,"theory","dgp3",20,300,"L",3,5,3,3,3,3
1,"theory","dgp3",20,300,"L-Th",7,7,5,5,5,5
1,"theory","dgp3",20,300,"L-Ref",1,1,3,3,3,3
1,"theory","dgp3",20,300,"L-Rlx",2,2,3,3,3,3
1,"theory","dgp3",20,300,"L-Des",5,4,10.5,6.5,10.5,6.5
1,"theory","dgp3",20,300,"A",9,10,7,9,7,9
1,"theory","dgp3",20,300,"A-Th",10,11,9,11,9,11
1,"theory","dgp3",20,300,"A-Ref",11,8,7,9,7,9
1,"theory","dgp3",20,300,"A-Rlx",8,9,7,9,7,9
1,"theory","dgp3",20,300,"A-Des",4,3,10.5,6.5,10.5,6.5
1,"theory","dgp3",20,300,"ScL",6,6,1,1,1,1
1,"theory","dgp3",20,500,"L",3,5,4,4,4,4
1,"theory","dgp3",20,500,"L-Th",7,7,1,1,1,1
1,"theory","dgp3",20,500,"L-Ref",1,1,4,4,4,4
1,"theory","dgp3",20,500,"L-Rlx",2,2,4,4,4,4
1,"theory","dgp3",20,500,"L-Des",5,4,10.5,6.5,10.5,6.5
1,"theory","dgp3",20,500,"A",10,10,7,9,7,9
1,"theory","dgp3",20,500,"A-Th",11,11,9,11,9,11
1,"theory","dgp3",20,500,"A-Ref",9,8,7,9,7,9
1,"theory","dgp3",20,500,"A-Rlx",8,9,7,9,7,9
1,"theory","dgp3",20,500,"A-Des",4,3,10.5,6.5,10.5,6.5
1,"theory","dgp3",20,500,"ScL",6,6,2,2,2,2
1,"theory","dgp3",20,1000,"L",4,6,4,4,4,4
1,"theory","dgp3",20,1000,"L-Th",3,5,1,1,1,1
1,"theory","dgp3",20,1000,"L-Ref",1,1,4,4,4,4
1,"theory","dgp3",20,1000,"L-Rlx",2,2,4,4,4,4
1,"theory","dgp3",20,1000,"L-Des",6,3,10.5,9.5,10.5,9.5
1,"theory","dgp3",20,1000,"A",10,10,7,7,7,7
1,"theory","dgp3",20,1000,"A-Th",11,11,9,11,9,11
1,"theory","dgp3",20,1000,"A-Ref",9,8,7,7,7,7
1,"theory","dgp3",20,1000,"A-Rlx",8,9,7,7,7,7
1,"theory","dgp3",20,1000,"A-Des",5,4,10.5,9.5,10.5,9.5
1,"theory","dgp3",20,1000,"ScL",7,7,2,2,2,2
1,"theory","dgp3",20,2000,"L",4,5,7,7,7,7
1,"theory","dgp3",20,2000,"L-Th",3,6,1,1,1,1
1,"theory","dgp3",20,2000,"L-Ref",1,1,7,7,7,7
1,"theory","dgp3",20,2000,"L-Rlx",2,2,7,7,7,7
1,"theory","dgp3",20,2000,"L-Des",5,3,10.5,10.5,10.5,10.5
1,"theory","dgp3",20,2000,"A",10,10,4,4,4,4
1,"theory","dgp3",20,2000,"A-Th",11,11,9,9,9,9
1,"theory","dgp3",20,2000,"A-Ref",8,8,4,4,4,4
1,"theory","dgp3",20,2000,"A-Rlx",9,9,4,4,4,4
1,"theory","dgp3",20,2000,"A-Des",6,4,10.5,10.5,10.5,10.5
1,"theory","dgp3",20,2000,"ScL",7,7,2,2,2,2
1,"theory","dgp3",25,100,"L",2,3,2,2,2,2
1,"theory","dgp3",25,100,"L-Th",7,7,5,7,5,7
1,"theory","dgp3",25,100,"L-Ref",3,2,2,2,2,2
1,"theory","dgp3",25,100,"L-Rlx",1,1,2,2,2,2
1,"theory","dgp3",25,100,"L-Des",6,5,10.5,5.5,10.5,5.5
1,"theory","dgp3",25,100,"A",8,10,7,9,7,9
1,"theory","dgp3",25,100,"A-Th",10,11,9,11,9,11
1,"theory","dgp3",25,100,"A-Ref",11,9,7,9,7,9
1,"theory","dgp3",25,100,"A-Rlx",9,8,7,9,7,9
1,"theory","dgp3",25,100,"A-Des",5,4,10.5,5.5,10.5,5.5
1,"theory","dgp3",25,100,"ScL",4,6,4,4,4,4
1,"theory","dgp3",25,200,"L",3,5,3,3,3,3
1,"theory","dgp3",25,200,"L-Th",7,7,5,7,5,7
1,"theory","dgp3",25,200,"L-Ref",2,1,3,3,3,3
1,"theory","dgp3",25,200,"L-Rlx",1,2,3,3,3,3
1,"theory","dgp3",25,200,"L-Des",5,4,10.5,5.5,10.5,5.5
1,"theory","dgp3",25,200,"A",9,10,7,9,7,9
1,"theory","dgp3",25,200,"A-Th",10,11,9,11,9,11
1,"theory","dgp3",25,200,"A-Ref",11,8,7,9,7,9
1,"theory","dgp3",25,200,"A-Rlx",8,9,7,9,7,9
1,"theory","dgp3",25,200,"A-Des",4,3,10.5,5.5,10.5,5.5
1,"theory","dgp3",25,200,"ScL",6,6,1,1,1,1
1,"theory","dgp3",25,300,"L",3,5,3,3,3,3
1,"theory","dgp3",25,300,"L-Th",7,7,5,5,5,5
1,"theory","dgp3",25,300,"L-Ref",1,1,3,3,3,3
1,"theory","dgp3",25,300,"L-Rlx",2,2,3,3,3,3
1,"theory","dgp3",25,300,"L-Des",5,4,10.5,6.5,10.5,6.5
1,"theory","dgp3",25,300,"A",9,10,7,9,7,9
1,"theory","dgp3",25,300,"A-Th",10,11,9,11,9,11
1,"theory","dgp3",25,300,"A-Ref",11,9,7,9,7,9
1,"theory","dgp3",25,300,"A-Rlx",8,8,7,9,7,9
1,"theory","dgp3",25,300,"A-Des",4,3,10.5,6.5,10.5,6.5
1,"theory","dgp3",25,300,"ScL",6,6,1,1,1,1
1,"theory","dgp3",25,500,"L",3,5,4,3,4,3
1,"theory","dgp3",25,500,"L-Th",7,7,2,5,2,5
1,"theory","dgp3",25,500,"L-Ref",1,1,4,3,4,3
1,"theory","dgp3",25,500,"L-Rlx",2,2,4,3,4,3
1,"theory","dgp3",25,500,"L-Des",5,4,10.5,6.5,10.5,6.5
1,"theory","dgp3",25,500,"A",9,10,7,9,7,9
1,"theory","dgp3",25,500,"A-Th",10,11,9,11,9,11
1,"theory","dgp3",25,500,"A-Ref",11,8,7,9,7,9
1,"theory","dgp3",25,500,"A-Rlx",8,9,7,9,7,9
1,"theory","dgp3",25,500,"A-Des",4,3,10.5,6.5,10.5,6.5
1,"theory","dgp3",25,500,"ScL",6,6,1,1,1,1
1,"theory","dgp3",25,1000,"L",4,5,4,4,4,4
1,"theory","dgp3",25,1000,"L-Th",3,6,1,1,1,1
1,"theory","dgp3",25,1000,"L-Ref",1,1,4,4,4,4
1,"theory","dgp3",25,1000,"L-Rlx",2,2,4,4,4,4
1,"theory","dgp3",25,1000,"L-Des",6,4,10.5,6.5,10.5,6.5
1,"theory","dgp3",25,1000,"A",10,10,7,9,7,9
1,"theory","dgp3",25,1000,"A-Th",11,11,9,11,9,11
1,"theory","dgp3",25,1000,"A-Ref",9,8,7,9,7,9
1,"theory","dgp3",25,1000,"A-Rlx",8,9,7,9,7,9
1,"theory","dgp3",25,1000,"A-Des",5,3,10.5,6.5,10.5,6.5
1,"theory","dgp3",25,1000,"ScL",7,7,2,2,2,2
1,"theory","dgp3",25,2000,"L",4,5,4,4,4,4
1,"theory","dgp3",25,2000,"L-Th",3,6,1,1,1,1
1,"theory","dgp3",25,2000,"L-Ref",1,1,4,4,4,4
1,"theory","dgp3",25,2000,"L-Rlx",2,2,4,4,4,4
1,"theory","dgp3",25,2000,"L-Des",5,4,10.5,9.5,10.5,9.5
1,"theory","dgp3",25,2000,"A",10,10,7,7,7,7
1,"theory","dgp3",25,2000,"A-Th",11,11,9,11,9,11
1,"theory","dgp3",25,2000,"A-Ref",8,8,7,7,7,7
1,"theory","dgp3",25,2000,"A-Rlx",9,9,7,7,7,7
1,"theory","dgp3",25,2000,"A-Des",6,3,10.5,9.5,10.5,9.5
1,"theory","dgp3",25,2000,"ScL",7,7,2,2,2,2
1,"theory","dgp3",30,100,"L",2,3,2,2,2,2
1,"theory","dgp3",30,100,"L-Th",5,7,5,7,5,7
1,"theory","dgp3",30,100,"L-Ref",3,2,2,2,2,2
1,"theory","dgp3",30,100,"L-Rlx",1,1,2,2,2,2
1,"theory","dgp3",30,100,"L-Des",11,5,10.5,5.5,10.5,5.5
1,"theory","dgp3",30,100,"A",6,10,7,9,7,9
1,"theory","dgp3",30,100,"A-Th",7,11,9,11,9,11
1,"theory","dgp3",30,100,"A-Ref",9,9,7,9,7,9
1,"theory","dgp3",30,100,"A-Rlx",8,8,7,9,7,9
1,"theory","dgp3",30,100,"A-Des",10,4,10.5,5.5,10.5,5.5
1,"theory","dgp3",30,100,"ScL",4,6,4,4,4,4
1,"theory","dgp3",30,200,"L",3,5,2,2,2,2
1,"theory","dgp3",30,200,"L-Th",7,7,5,7,5,7
1,"theory","dgp3",30,200,"L-Ref",2,1,2,2,2,2
1,"theory","dgp3",30,200,"L-Rlx",1,2,2,2,2,2
1,"theory","dgp3",30,200,"L-Des",5,4,10.5,5.5,10.5,5.5
1,"theory","dgp3",30,200,"A",8,10,7,9,7,9
1,"theory","dgp3",30,200,"A-Th",10,11,9,11,9,11
1,"theory","dgp3",30,200,"A-Ref",11,8,7,9,7,9
1,"theory","dgp3",30,200,"A-Rlx",9,9,7,9,7,9
1,"theory","dgp3",30,200,"A-Des",4,3,10.5,5.5,10.5,5.5
1,"theory","dgp3",30,200,"ScL",6,6,4,4,4,4
1,"theory","dgp3",30,300,"L",3,5,3,3,3,3
1,"theory","dgp3",30,300,"L-Th",7,7,5,7,5,7
1,"theory","dgp3",30,300,"L-Ref",2,1,3,3,3,3
1,"theory","dgp3",30,300,"L-Rlx",1,2,3,3,3,3
1,"theory","dgp3",30,300,"L-Des",5,4,10.5,5.5,10.5,5.5
1,"theory","dgp3",30,300,"A",8,10,7,9,7,9
1,"theory","dgp3",30,300,"A-Th",10,11,9,11,9,11
1,"theory","dgp3",30,300,"A-Ref",11,9,7,9,7,9
1,"theory","dgp3",30,300,"A-Rlx",9,8,7,9,7,9
1,"theory","dgp3",30,300,"A-Des",4,3,10.5,5.5,10.5,5.5
1,"theory","dgp3",30,300,"ScL",6,6,1,1,1,1
1,"theory","dgp3",30,500,"L",3,5,3,3,3,3
1,"theory","dgp3",30,500,"L-Th",7,7,5,5,5,5
1,"theory","dgp3",30,500,"L-Ref",1,1,3,3,3,3
1,"theory","dgp3",30,500,"L-Rlx",2,2,3,3,3,3
1,"theory","dgp3",30,500,"L-Des",5,4,10.5,6.5,10.5,6.5
1,"theory","dgp3",30,500,"A",9,10,7,9,7,9
1,"theory","dgp3",30,500,"A-Th",10,11,9,11,9,11
1,"theory","dgp3",30,500,"A-Ref",11,8,7,9,7,9
1,"theory","dgp3",30,500,"A-Rlx",8,9,7,9,7,9
1,"theory","dgp3",30,500,"A-Des",4,3,10.5,6.5,10.5,6.5
1,"theory","dgp3",30,500,"ScL",6,6,1,1,1,1
1,"theory","dgp3",30,1000,"L",3,5,4,4,4,4
1,"theory","dgp3",30,1000,"L-Th",6,6,1,1,1,1
