"snr","tuning","dgp","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
2,"cv","dgp2","A-Ref",36,4.02777777777778,3.69444444444444,3.55555555555556,3.58333333333333,3.55555555555556,3.55555555555556
2,"cv","dgp2","A-Rlx",36,1.25,2.27777777777778,3.55555555555556,3.58333333333333,3.55555555555556,3.55555555555556
2,"cv","dgp2","A-Des",36,9.83333333333333,9.63888888888889,10.5,10.5,10.5,10.5
2,"cv","dgp2","ScL",36,8.63888888888889,8.33333333333333,5.875,5.83333333333333,5.875,5.83333333333333
2,"cv","dgp3","L",36,5.47222222222222,5.41666666666667,8,8,8,8
2,"cv","dgp3","L-Th",36,4.36111111111111,4.86111111111111,3.70833333333333,3.70833333333333,3.70833333333333,3.70833333333333
2,"cv","dgp3","L-Ref",36,8,8,8,8,8,8
2,"cv","dgp3","L-Rlx",36,6.25,6.05555555555556,8,8,8,8
2,"cv","dgp3","L-Des",36,10.0277777777778,9.97222222222222,10.5,10.5,10.5,10.5
2,"cv","dgp3","A",36,2.52777777777778,2.75,3.59722222222222,3.54166666666667,3.59722222222222,3.54166666666667
2,"cv","dgp3","A-Th",36,2.08333333333333,2.58333333333333,2.16666666666667,2.22222222222222,2.16666666666667,2.22222222222222
2,"cv","dgp3","A-Ref",36,4.30555555555556,3.97222222222222,3.59722222222222,3.54166666666667,3.59722222222222,3.54166666666667
2,"cv","dgp3","A-Rlx",36,3.02777777777778,2.58333333333333,3.59722222222222,3.54166666666667,3.59722222222222,3.54166666666667
2,"cv","dgp3","A-Des",36,9.30555555555556,9.30555555555556,10.5,10.5,10.5,10.5
2,"cv","dgp3","ScL",36,10.6388888888889,10.5,4.33333333333333,4.44444444444444,4.33333333333333,4.44444444444444
